prompt,completion
faithfully	c
,	c
Pat	c
,	c
Maria	c
's	c
best	c
friend	c
Unfortunately	c
,	c
Pat	c
was	c
n't	c
very	c
good	c
at	c
keeping	c
secrets	c
,	c
so	c
Maria	c
was	c
very	c
disappointed	c
when	c
she	c
realised	c
that	c
Manuel	c
knew	c
the	c
truth	c
about	c
the	c
feelings	c
that	c
Maria	c
had	c
for	c
him	c
,	c
in	c
fact	c
,	c
she	c
was	c
so	c
angry	c
she	c
almost	i
kill	c
but	c
,	c
she	c
could	c
n't	c
because	c
Pat	c
was	c
her	c
best	c
friend	c
.	c
"
"Maria talked to Pat about the stupid thing that she did , but Pat refused to apologaising to her , because she felt it was n't a mistake and she did it for only one reason : help Maria to get the man that she loved .","Maria	c
talked	c
to	c
Pat	c
about	c
the	c
stupid	c
thing	c
that	c
she	c
did	i
,	c
but	c
Pat	c
refused	c
to	c
apologaising	i
to	c
her	c
,	c
because	c
she	c
felt	c
it	c
was	c
n't	c
a	c
mistake	c
and	c
she	c
did	c
it	c
for	c
only	c
one	c
reason	c
:	c
help	i
Maria	c
to	c
get	c
the	c
man	c
that	c
she	c
loved	c
.	c
"
"Maria was speechless , it was the first time that she did n't know what to do , so she decided to stop talking to Pat .","Maria	c
was	c
speechless	c
,	c
it	c
was	c
the	c
first	c
time	c
that	c
she	c
did	c
n't	c
know	c
what	c
to	c
do	c
,	c
so	c
she	c
decided	c
to	c
stop	c
talking	c
to	c
Pat	c
.	c
"
"After 3 weeks , Maria got ill so she was not available to go to school .","After	c
3	c
weeks	c
,	c
Maria	c
got	c
ill	c
so	c
she	c
was	c
not	c
available	i
to	c
go	c
to	c
school	c
.	c
"
"Some friends phoned her everyday , except Pat , the only friend that Maria really loved , despite that , she was not sad .","Some	i
friends	i
phoned	c
her	c
everyday	i
,	c
except	c
Pat	c
,	c
the	c
only	c
friend	c
that	c
Maria	c
really	c
loved	c
,	i
despite	i
that	c
,	c
she	c
was	c
not	c
sad	c
.	c
"
"One day , when Maria was seating in her bedroom , someone knock the door , it was Manuel , he was worried for her .","One	c
day	c
,	c
when	c
Maria	c
was	c
seating	i
in	c
her	c
bedroom	c
,	c
someone	c
knock	i
the	i
door	c
,	i
it	i
was	c
Manuel	c
,	i
he	i
was	c
worried	c
for	i
her	c
.	c
"
"Maria was nervous , but for the first time , she could talk to him as she never did before , and at the end of the day , she was the happiest person of the world , she gave her first kiss and she had Pat 's friendship back , after all , everything happened because of her .","Maria	c
was	c
nervous	c
,	c
but	c
for	c
the	c
first	c
time	c
,	c
she	c
could	c
talk	c
to	c
him	c
as	c
she	c
never	c
did	i
before	c
,	c
and	c
at	c
the	c
end	c
of	c
the	c
day	c
,	c
she	c
was	c
the	c
happiest	c
person	c
of	i
the	c
world	c
,	i
she	i
gave	i
her	c
first	c
kiss	c
and	c
she	c
had	c
Pat	c
's	c
friendship	c
back	c
,	c
after	c
all	c
,	c
everything	c
happened	c
because	c
of	c
her	c
.	c
"
"Wawsaw , 12th December 2000 Dear Mr Robertson , First of all , we would like to thank you very much for organising such a wonderfull trip with an interesting program .","Wawsaw	c
,	c
12th	c
December	c
2000	c
Dear	c
Mr	c
Robertson	c
,	c
First	c
of	c
all	c
,	c
we	c
would	c
like	c
to	c
thank	c
you	c
very	c
much	c
for	c
organising	c
such	c
a	c
wonderfull	i
trip	c
with	c
an	c
interesting	c
program	i
.	c
"
"We are all extremely excited especially because of the trip to Greenwich , the town we were always interested in .","We	c
are	c
all	c
extremely	c
excited	c
especially	c
because	c
of	c
the	c
trip	c
to	c
Greenwich	c
,	c
the	c
town	c
we	c
were	i
always	i
interested	c
in	c
.	c
"
"However , there are may other interesting places and exhibitions to see in London .","However	c
,	c
there	c
are	c
may	i
other	c
interesting	c
places	c
and	c
exhibitions	c
to	c
see	c
in	c
London	c
.	c
"
"For example , in the time of our visit there is going to be \"" The London Fashion and Leisure Show \"" .","For	c
example	c
,	c
in	i
the	c
time	c
of	c
our	c
visit	c
there	c
is	c
going	c
to	c
be	c
""\""""""	c
The	c
London	c
Fashion	c
and	c
Leisure	c
Show	c
""\""""""	c
.	c
"
It is a coinsidence which we would be extremely happy to take advantage on .,"It	c
is	c
a	c
coinsidence	i
which	c
we	c
would	c
be	c
extremely	c
happy	c
to	c
take	c
advantage	c
on	i
.	c
"
This is a great opportunity for us to see the latest fashions and famous fashion models who we would like to have authograps from .,"This	c
is	c
a	c
great	c
opportunity	c
for	c
us	c
to	c
see	c
the	c
latest	c
fashions	c
and	c
famous	c
fashion	c
models	c
who	c
we	c
would	c
like	c
to	c
have	c
authograps	i
from	c
.	c
"
We hope changing the excursion program a little will not cause any problems .,"We	c
hope	c
changing	c
the	c
excursion	c
program	i
a	c
little	c
will	c
not	c
cause	c
any	c
problems	c
.	c
"
Our suggestion is to visit Science Museum on Wednesday afternoon instead of Tuesday .,"Our	c
suggestion	c
is	c
to	c
visit	c
Science	i
Museum	c
on	c
Wednesday	c
afternoon	c
instead	c
of	c
Tuesday	c
.	c
"
Because the fashion show lasts a whole day long .,"Because	c
the	c
fashion	c
show	c
lasts	c
a	c
whole	c
day	c
long	c
.	c
"
We are ready to give up our shopping and Free time .,"We	c
are	c
ready	c
to	c
give	c
up	c
our	c
shopping	c
and	c
Free	i
time	c
.	c
"
The show starts on 14th March at 10.00 and ends at 19.00 the same day .,"The	c
show	c
starts	c
on	c
14th	c
March	c
at	c
10.00	c
and	c
ends	c
at	c
19.00	c
the	c
same	c
day	c
.	c
"
We are sorry for any inconvenience caused by our request .,"We	c
are	c
sorry	c
for	c
any	c
inconvenience	c
caused	c
by	c
our	c
request	c
.	c
"
Yours faithfully Famous people are living creatures .,"Yours	c
faithfully	i
Famous	c
people	c
are	c
living	c
creatures	c
.	c
"
"They breathe , eat , feel and beside that they are famous they are just the same as anyone else .","They	c
breathe	c
,	c
eat	c
,	c
feel	c
and	c
beside	i
that	i
they	c
are	c
famous	c
they	c
are	c
just	c
the	c
same	c
as	c
anyone	c
else	c
.	c
"
Nobody likes to be observed constantly or touched by strangers and pointed out in the streets with no right even or just a little privacy .,"Nobody	c
likes	c
to	c
be	c
observed	c
constantly	c
or	c
touched	c
by	c
strangers	c
and	c
pointed	c
out	c
in	c
the	c
streets	c
with	c
no	c
right	c
even	c
or	i
just	c
a	c
little	c
privacy	c
.	c
"
"I personally think the best would be to put the celebrities in cages and let people touch them , point and ask for authopraps .","I	c
personally	c
think	c
the	c
best	c
would	c
be	c
to	c
put	c
the	c
celebrities	c
in	c
cages	c
and	c
let	c
people	c
touch	c
them	c
,	c
point	c
and	c
ask	c
for	c
authopraps	i
.	c
"
Like in the zoo .,"Like	c
in	c
the	c
zoo	c
.	c
"
"The biggest commercial gain in history I believe , but celebrities are not animals although they may be sometimes treated the same way .","The	c
biggest	c
commercial	c
gain	c
in	c
history	c
I	c
believe	c
,	c
but	c
celebrities	c
are	c
not	c
animals	c
although	c
they	c
may	c
be	c
sometimes	c
treated	c
the	c
same	c
way	c
.	c
"
"On the other hand , they must have done something to become famous .","On	c
the	c
other	c
hand	c
,	c
they	c
must	c
have	c
done	c
something	c
to	c
become	c
famous	c
.	c
"
"It may in many cases , not be true but we can suspect that most of them wanted to become a celebrity and they had to know there is no private life unseparately contected to it .","It	c
may	c
in	c
many	c
cases	c
,	c
not	c
be	c
true	c
but	c
we	c
can	c
suspect	c
that	c
most	c
of	c
them	c
wanted	c
to	c
become	c
a	c
celebrity	c
and	c
they	c
had	c
to	c
know	c
there	c
is	c
no	c
private	c
life	c
unseparately	c
contected	i
to	c
it	c
.	c
"
"To sum up , I believe that everyone has the right to keep privacy of their own homes and even someone extremely famous deserve to have a private life .","To	c
sum	c
up	c
,	c
I	c
believe	c
that	c
everyone	c
has	c
the	c
right	c
to	c
keep	c
privacy	i
of	c
their	c
own	c
homes	c
and	c
even	c
someone	c
extremely	c
famous	c
deserve	i
to	c
have	c
a	c
private	c
life	c
.	c
"
"Unfortunately as long as their private life is interesting for ordinary people and it brings commercial gain to publishers , journalists and photographers , famous people will just have to get use to this living \"" under a microscope \"" .","Unfortunately	c
as	c
long	c
as	c
their	c
private	c
life	c
is	c
interesting	c
for	c
ordinary	c
people	c
and	c
it	c
brings	c
commercial	c
gain	c
to	c
publishers	c
,	c
journalists	c
and	c
photographers	c
,	c
famous	c
people	c
will	c
just	c
have	c
to	c
get	c
use	i
to	c
this	c
living	c
""\""""""	c
under	c
a	c
microscope	c
""\""""""	c
.	c
"
"Dear Jane Clark , The purpose of this letter is to congratulate you on the International Arts Fesival I attended last weekend .","Dear	c
Jane	c
Clark	c
,	c
The	c
purpose	c
of	c
this	c
letter	c
is	c
to	c
congratulate	c
you	c
on	c
the	c
International	c
Arts	c
Fesival	i
I	c
attended	c
last	c
weekend	c
.	c
"
"I believe that the event was good , however I feel that the festival can be improved next year .","I	c
believe	c
that	c
the	c
event	c
was	c
good	c
,	i
however	i
I	c
feel	c
that	c
the	c
festival	c
can	i
be	c
improved	c
next	c
year	c
.	c
"
"Firstly I would like to tell you that the idea of organizing an International Arts Festival is fantastic , but in your advertisement it was said that I would find stars and artists from arround the world , when , in fact , they were from only six countries .","Firstly	c
I	c
would	c
like	c
to	c
tell	c
you	c
that	c
the	c
idea	c
of	c
organizing	c
an	c
International	c
Arts	c
Festival	c
is	c
fantastic	c
,	c
but	c
in	c
your	c
advertisement	c
it	c
was	c
said	c
that	c
I	c
would	c
find	c
stars	c
and	c
artists	c
from	c
arround	i
the	c
world	c
,	c
when	c
,	c
in	c
fact	c
,	c
they	c
were	c
from	c
only	c
six	c
countries	c
.	c
"
"I do understand that it must be difficult to get these people to go to the festival , but it would be nice if next year we could meet other personalities .","I	c
do	c
understand	c
that	c
it	c
must	c
be	c
difficult	c
to	c
get	c
these	c
people	c
to	c
go	i
to	c
the	c
festival	c
,	c
but	c
it	c
would	c
be	c
nice	c
if	c
next	c
year	c
we	c
could	c
meet	c
other	i
personalities	c
.	c
"
"Secondly I belive you should know that a lot of people , including me , were not able to enjoy concerts because some concert halls were too small .","Secondly	c
I	c
belive	i
you	c
should	c
know	c
that	c
a	c
lot	c
of	c
people	c
,	c
including	c
me	c
,	c
were	c
not	c
able	c
to	c
enjoy	c
concerts	i
because	c
some	c
concert	c
halls	c
were	c
too	c
small	c
.	c
"
I would be very thankful if you could tell me if there will be more plays and films next year .,"I	c
would	c
be	c
very	c
thankful	i
if	c
you	c
could	c
tell	c
me	c
if	c
there	c
will	c
be	c
more	c
plays	c
and	c
films	c
next	c
year	c
.	c
"
Last but not least I would like you to know that I think the idea of the weekend ticket for all events was excellent because in the end it was cheaper than paying for each event separatelly .,"Last	c
but	c
not	c
least	c
I	c
would	c
like	c
you	c
to	c
know	c
that	c
I	c
think	c
the	c
idea	c
of	c
the	c
weekend	c
ticket	c
for	c
all	c
events	c
was	c
excellent	c
because	c
in	c
the	c
end	c
it	c
was	c
cheaper	c
than	c
paying	c
for	c
each	c
event	c
separatelly	i
.	c
"
I hope you find my opinion useful .,"I	c
hope	c
you	c
find	c
my	c
opinion	i
useful	c
.	c
"
Once again congratulations on the Festival .,"Once	c
again	c
congratulations	c
on	c
the	c
Festival	c
.	c
"
"I hope to hearing from you soon yours sincerelly , tips to earn money When the holidays began everybody is happy because it represents the beginning of a time full of fun and lots of interesting things to do , but in order to do these things we all need money and that is a big problem to most of us .","I	c
hope	c
to	c
hearing	i
from	c
you	c
soon	c
yours	i
sincerelly	i
,	c
tips	i
to	i
earn	i
money	c
When	c
the	c
holidays	c
began	i
everybody	c
is	c
happy	c
because	c
it	c
represents	c
the	c
beginning	c
of	c
a	c
time	c
full	c
of	c
fun	c
and	c
lots	c
of	c
interesting	c
things	c
to	c
do	c
,	c
but	c
in	c
order	c
to	c
do	c
these	c
things	c
we	c
all	c
need	c
money	c
and	c
that	c
is	c
a	c
big	c
problem	c
to	i
most	c
of	c
us	c
.	c
"
there are several ways to earn a bit of money in your spare time .,"there	i
are	c
several	c
ways	c
to	c
earn	c
a	c
bit	c
of	c
money	c
in	c
your	c
spare	c
time	c
.	c
"
"One of the most common examples is baby- sitting taking care of little children is easy and it does n't require special skills , all you need is a lot of patience .","One	c
of	c
the	c
most	c
common	c
examples	c
is	c
baby-	i
sitting	i
taking	i
care	c
of	c
little	c
children	c
is	c
easy	c
and	c
it	c
does	c
n't	c
require	c
special	c
skills	c
,	c
all	c
you	c
need	c
is	c
a	c
lot	c
of	c
patience	c
.	c
"
"If looking after children does n't fit you , you can try with pets .","If	c
looking	c
after	c
children	c
does	c
n't	c
fit	i
you	c
,	c
you	c
can	c
try	c
with	i
pets	c
.	c
"
Lots of people would pay you to take their dog for a walk .,"Lots	c
of	c
people	c
would	c
pay	c
you	c
to	c
take	c
their	c
dog	c
for	c
a	c
walk	c
.	c
"
So if you like animals this is your chance to earn money and have fun at the same time .,"So	c
if	c
you	c
like	c
animals	c
this	c
is	c
your	c
chance	c
to	c
earn	c
money	i
and	c
have	c
fun	c
at	c
the	c
same	c
time	c
.	c
"
Another option is to wash your neighbour 's car .,"Another	c
option	c
is	c
to	c
wash	c
your	c
neighbour	c
's	c
car	c
.	c
"
"In this case you need to buy the materials you will work with , but do n't worry , soap is not very expensive .","In	c
this	c
case	c
you	c
need	c
to	c
buy	c
the	c
materials	c
you	c
will	c
work	c
with	c
,	c
but	c
do	c
n't	c
worry	c
,	c
soap	c
is	c
not	c
very	c
expensive	c
.	c
"
"the most important thing is that you wisely choose the most suitable work for you , according to the things you like to do .","the	i
most	c
important	c
thing	c
is	c
that	c
you	c
wisely	i
choose	i
the	i
most	i
suitable	i
work	i
for	i
you	i
,	c
according	c
to	c
the	c
things	c
you	c
like	c
to	c
do	c
.	c
"
"If you do n't find anything good enough for you do n't worry , you should always remember : It 's not all about the money !","If	c
you	c
do	c
n't	c
find	c
anything	c
good	c
enough	c
for	c
you	c
do	c
n't	c
worry	c
,	c
you	c
should	c
always	c
remember	c
:	c
It	c
's	c
not	c
all	c
about	c
the	c
money	c
!	c
"
"To Mr Robertson , Firstly , I would like to thank you for the programme that you provided .","To	c
Mr	c
Robertson	c
,	c
Firstly	c
,	c
I	c
would	c
like	c
to	c
thank	c
you	c
for	c
the	c
programme	c
that	c
you	c
provided	i
.	c
"
"It was very good programme , especially the river trip to Greenwich , which I am sure the whole class would enjoy .","It	c
was	i
very	i
good	c
programme	c
,	c
especially	c
the	c
river	c
trip	c
to	c
Greenwich	c
,	c
which	c
I	c
am	c
sure	c
the	c
whole	c
class	c
would	i
enjoy	c
.	c
"
"However , our class has spotted an advertisement for the London Fashion and Leisure Show and would all wish to attend .","However	c
,	c
our	c
class	c
has	c
spotted	c
an	c
advertisement	c
for	c
the	c
London	c
Fashion	c
and	c
Leisure	c
Show	c
and	c
would	c
all	c
wish	c
to	c
attend	c
.	c
"
It will be held at the Central Exhibition Hall in London on the 14th March .,"It	c
will	c
be	c
held	c
at	c
the	c
Central	c
Exhibition	c
Hall	c
in	c
London	c
on	c
the	c
14th	c
March	c
.	c
"
It will be from 10.00 till 7.00pm .,"It	c
will	c
be	c
from	c
10.00	c
till	c
7.00pm	c
.	c
"
"The show will be about all the latest fashion , leisure and sports wear , make up and hairstyles .","The	c
show	c
will	c
be	c
about	c
all	c
the	c
latest	c
fashion	i
,	c
leisure	c
and	c
sports	c
wear	c
,	c
make	c
up	c
and	c
hairstyles	c
.	c
"
We would also not have to worry financially as it is free for students .,"We	c
would	c
also	c
not	c
have	c
to	c
worry	c
financially	c
as	c
it	c
is	c
free	c
for	c
students	c
.	c
"
This will be a great opportunity for us because we will be able to find out more about the people of London and their fashions and style we might also get a change to meet new people and interest with them .,"This	c
will	c
be	c
a	c
great	c
opportunity	c
for	c
us	c
because	c
we	c
will	c
be	c
able	c
to	c
find	c
out	c
more	c
about	c
the	c
people	c
of	c
London	c
and	c
their	c
fashions	c
and	c
style	c
we	i
might	c
also	c
get	c
a	c
change	i
to	c
meet	c
new	c
people	c
and	c
interest	i
with	c
them	c
.	c
"
The whole class is also very excited about this fashion show and would really appreciate your giving them a change to go .,"The	c
whole	c
class	c
is	c
also	c
very	c
excited	c
about	c
this	c
fashion	c
show	c
and	c
would	c
really	c
appreciate	c
your	c
giving	c
them	c
a	c
change	i
to	c
go	c
.	c
"
I have a few suggestion on how the programme could be changed to fit the London Fashion and Leisure Show in .,"I	c
have	c
a	c
few	c
suggestion	i
on	c
how	c
the	c
programme	c
could	c
be	c
changed	c
to	c
fit	c
the	c
London	c
Fashion	c
and	c
Leisure	c
Show	c
in	c
.	c
"
We could do as planned for Monday and move going to the Science Museum from Tuesday to Wednesday afternoon .,"We	c
could	c
do	c
as	c
planned	c
for	c
Monday	c
and	c
move	c
going	c
to	c
the	c
Science	c
Museum	c
from	c
Tuesday	c
to	c
Wednesday	c
afternoon	c
.	c
"
We would have to forgo the shopping as we might not have enough time and the exchange rate might be too high for us to do much shopping .,"We	c
would	c
have	c
to	c
forgo	c
the	c
shopping	c
as	c
we	c
might	c
not	c
have	c
enough	c
time	c
and	c
the	c
exchange	c
rate	c
might	c
be	c
too	c
high	c
for	c
us	c
to	c
do	c
much	c
shopping	c
.	c
"
We can however go and look around the shopping mall if we have time after the show .,"We	c
can	c
however	c
go	c
and	c
look	c
around	c
the	c
shopping	c
mall	c
if	c
we	c
have	c
time	c
after	c
the	c
show	c
.	c
"
"Lastly , I would be very grateful if you could give us your permission to go to the show .","Lastly	c
,	c
I	c
would	c
be	c
very	c
grateful	c
if	c
you	c
could	c
give	c
us	c
your	c
permission	c
to	c
go	c
to	c
the	c
show	c
.	c
"
I hope you would consider this matter .,"I	c
hope	c
you	c
would	i
consider	c
this	c
matter	c
.	c
"
I look forward to hearing from you .,"I	c
look	c
forward	c
to	c
hearing	c
from	c
you	c
.	c
"
"Yours sincerely , Everyday , something changes and we become more modern companies use computers instead of books , dentist use modernized electrical item instead of just a plier , even homes are effected .","Yours	c
sincerely	c
,	c
Everyday	i
,	c
something	c
changes	c
and	c
we	c
become	c
more	c
modern	c
companies	i
use	c
computers	c
instead	c
of	c
books	c
,	c
dentist	i
use	c
modernized	c
electrical	i
item	i
instead	c
of	c
just	c
a	c
plier	i
,	i
even	i
homes	c
are	c
effected	i
.	c
"
"From letters to emails , from gas stoves to electric stoves and microwaves , but we are n't just going to stop here are we ?","From	c
letters	c
to	c
emails	c
,	c
from	c
gas	c
stoves	c
to	c
electric	c
stoves	c
and	c
microwaves	c
,	i
but	i
we	c
are	c
n't	c
just	c
going	c
to	c
stop	c
here	c
are	c
we	c
?	c
"
"No , in the future , the present will be the past and these things now new to use will be old , outdated and changed .","No	c
,	c
in	c
the	c
future	c
,	c
the	c
present	c
will	c
be	c
the	c
past	c
and	c
these	i
things	c
now	c
new	c
to	c
use	i
will	c
be	c
old	c
,	c
outdated	c
and	c
changed	c
.	c
"
I see a very different home for us in the future .,"I	c
see	c
a	c
very	c
different	c
home	c
for	c
us	c
in	c
the	c
future	c
.	c
"
Most things will be computerised .,"Most	c
things	c
will	c
be	c
computerised	c
.	c
"
We might even be using voice identification and fingerprints instead of keys .,"We	c
might	c
even	c
be	c
using	c
voice	c
identification	c
and	c
fingerprints	c
instead	c
of	c
keys	c
.	c
"
We an on and off lights with touch pads and remote controllers .,"We	c
an	i
on	c
and	c
off	c
lights	c
with	c
touch	c
pads	c
and	c
remote	c
controllers	i
.	c
"
We might even be able to open the door without getting out from the living room .,"We	c
might	c
even	c
be	c
able	c
to	c
open	c
the	c
door	c
without	c
getting	i
out	i
from	c
the	c
living	c
room	c
.	c
"
Cameras will be something usual in every house instead of that little peephole in your door .,"Cameras	c
will	c
be	c
something	c
usual	c
in	c
every	c
house	c
instead	c
of	c
that	c
little	c
peephole	c
in	c
your	c
door	c
.	c
"
Although all that may change our houses may be still the same .,"Although	c
all	c
that	c
may	c
change	i
our	c
houses	c
may	c
be	c
still	c
the	c
same	c
.	c
"
The rooms and size should remain as it was and the living rooms and all may still be decorated in the same style .,"The	c
rooms	c
and	c
size	i
should	c
remain	c
as	c
it	i
was	i
and	c
the	c
living	c
rooms	c
and	c
all	i
may	c
still	c
be	c
decorated	c
in	c
the	c
same	c
style	c
.	c
"
We might still favour that old carpet and couch .,"We	c
might	c
still	c
favour	i
that	c
old	c
carpet	c
and	c
couch	c
.	c
"
The furniture should not change that much on the outside and the amount of rooms should not change too .,"The	c
furniture	c
should	c
not	c
change	c
that	c
much	c
on	c
the	c
outside	c
and	c
the	c
amount	i
of	c
rooms	c
should	c
not	c
change	c
too	i
.	c
"
"In the future , every child might have a laptop .","In	c
the	c
future	c
,	c
every	c
child	c
might	c
have	c
a	c
laptop	c
.	c
"
"And instead of going to school , why not let school come to you ?","And	c
instead	c
of	c
going	c
to	c
school	c
,	c
why	c
not	c
let	c
school	c
come	c
to	c
you	c
?	c
"
We will be learning at home using computers and disc .,"We	c
will	c
be	c
learning	c
at	c
home	c
using	c
computers	c
and	c
disc	i
.	c
"
Never have to leave the house or wake up so early .,"Never	i
have	c
to	c
leave	c
the	c
house	c
or	c
wake	c
up	c
so	c
early	c
.	c
"
Another way our home could be different in the future is probably the utilitles we are using .,"Another	c
way	c
our	c
home	c
could	c
be	c
different	c
in	c
the	c
future	c
is	c
probably	c
the	c
utilitles	i
we	c
are	i
using	c
.	c
"
"We might not need maids to do housework anymore as they can easily be replaced with a robot , a machine , or something other with the same purpose .","We	c
might	c
not	c
need	c
maids	c
to	c
do	c
housework	c
anymore	c
as	c
they	c
can	c
easily	c
be	c
replaced	c
with	c
a	c
robot	c
,	c
a	c
machine	c
,	c
or	c
something	c
other	i
with	c
the	c
same	c
purpose	c
.	c
"
"Our homes will still be the same in terms of the kitchen , it will still be filled with vegetables and meat .","Our	c
homes	c
will	c
still	c
be	c
the	c
same	c
in	c
terms	c
of	c
the	c
kitchen	i
,	i
it	i
will	c
still	c
be	c
filled	c
with	c
vegetables	c
and	c
meat	c
.	c
"
This is because people wo n't miss the great taste of food although it could be subsituted to a vitamin pill or two .,"This	c
is	c
because	c
people	c
wo	c
n't	c
miss	i
the	c
great	c
taste	c
of	c
food	c
although	i
it	c
could	c
be	c
subsituted	i
to	i
a	c
vitamin	c
pill	c
or	c
two	c
.	c
"
"Lastly , I think that all this changes wo n't really be noticed as we change it daily and slowly instead abruptedly .","Lastly	c
,	c
I	c
think	c
that	c
all	c
this	i
changes	c
wo	c
n't	c
really	c
be	c
noticed	c
as	c
we	c
change	c
it	i
daily	c
and	c
slowly	c
instead	c
abruptedly	i
.	c
"
People will be able to adjust and change with the times .,"People	c
will	c
be	c
able	c
to	c
adjust	c
and	c
change	c
with	c
the	c
times	c
.	c
"
"Dear Mr Robertson , On behalf of our class I would like to give you some information about the London Fashion and Leisure show , that we saw advertised and we are interested indeed .","Dear	c
Mr	c
Robertson	c
,	c
On	c
behalf	c
of	c
our	c
class	c
I	c
would	c
like	c
to	c
give	c
you	c
some	c
information	c
about	c
the	c
London	c
Fashion	c
and	c
Leisure	c
show	c
,	c
that	c
we	c
saw	c
advertised	c
and	c
we	c
are	c
interested	c
indeed	c
.	c
"
In addition we would like to thank you about the programme .,"In	c
addition	c
we	c
would	c
like	c
to	c
thank	c
you	c
about	i
the	c
programme	c
.	c
"
"Firstly , I would like to give you some details about this show .","Firstly	c
,	c
I	c
would	c
like	c
to	c
give	c
you	c
some	c
details	c
about	c
this	c
show	c
.	c
"
"It will take place in Central Exhibition Hall , in London , on Tuesday 14th of March and the suitable time will be 10.00 - 19.00 I would like to mention that this day we are going to visit the Science Museum in the morning and after we are going for shopping , so I believe it will be a good change for all of us to attend this show as it is free for students !","It	c
will	c
take	c
place	c
in	c
Central	i
Exhibition	c
Hall	c
,	c
in	c
London	c
,	c
on	c
Tuesday	c
14th	i
of	c
March	c
and	c
the	c
suitable	c
time	c
will	c
be	c
10.00	c
-	c
19.00	c
I	c
would	c
like	c
to	c
mention	c
that	c
this	i
day	c
we	c
are	c
going	c
to	c
visit	c
the	c
Science	c
Museum	c
in	c
the	c
morning	c
and	c
after	c
we	c
are	c
going	c
for	c
shopping	c
,	c
so	c
I	c
believe	c
it	c
will	c
be	c
a	c
good	c
change	i
for	c
all	c
of	c
us	c
to	c
attend	c
this	c
show	c
as	c
it	c
is	c
free	c
for	c
students	c
!	c
"
The most important thing is that the time that the show starts is perfect and is suitable as well with our programme because until 19:00 I think that everyone will have finished their shopping .,"The	c
most	c
important	c
thing	c
is	c
that	c
the	c
time	c
that	c
the	c
show	c
starts	c
is	c
perfect	c
and	c
is	c
suitable	i
as	c
well	c
with	c
our	c
programme	c
because	c
until	i
19:00	c
I	c
think	c
that	c
everyone	c
will	c
have	c
finished	c
their	c
shopping	c
.	c
"
"Secondly , I would like to give you more details about the show and particularly what does it include .","Secondly	c
,	c
I	c
would	c
like	c
to	c
give	c
you	c
more	c
details	c
about	c
the	c
show	c
and	c
particularly	c
what	i
does	c
it	c
include	i
.	c
"
The latest fashion will be on show and also the Leisure and sports wear .,"The	c
latest	c
fashion	i
will	c
be	c
on	c
show	c
and	c
also	c
the	c
Leisure	c
and	c
sports	c
wear	c
.	c
"
Really interesting !,"Really	c
interesting	c
!	c
"
Moreover all about the make up and the hairstyles .,"Moreover	c
all	c
about	c
the	c
make	c
up	c
and	c
the	c
hairstyles	c
.	c
"
I think that it will be a great opportunity to all of us to be on this show while we are going to be in London .,"I	c
think	c
that	c
it	i
will	i
be	i
a	i
great	i
opportunity	i
to	i
all	i
of	i
us	i
to	i
be	i
on	i
this	i
show	i
while	c
we	c
are	c
going	c
to	c
be	c
in	c
London	c
.	c
"
"But , if there is a problem that the show is on Tuesday afternoon , the same hour with shopping , I suggest having the shopping on Wednesday afternoon that we will not have anything to do !","But	c
,	c
if	c
there	c
is	c
a	c
problem	c
that	i
the	c
show	c
is	c
on	c
Tuesday	c
afternoon	c
,	c
the	c
same	c
hour	i
with	i
shopping	i
,	c
I	c
suggest	c
having	i
the	c
shopping	c
on	c
Wednesday	c
afternoon	c
that	i
we	c
will	c
not	c
have	c
anything	c
to	c
do	c
!	c
"
"I look forward to your reply , Yours sincerely , Some people think that to be a famous person is very excuiting thing , that all the time this makes you feel completely and also they think that if you are famous you are special as well .","I	c
look	c
forward	c
to	c
your	c
reply	c
,	c
Yours	c
sincerely	c
,	c
Some	c
people	c
think	c
that	c
to	i
be	i
a	c
famous	c
person	c
is	c
very	i
excuiting	i
thing	c
,	c
that	c
all	c
the	c
time	c
this	c
makes	c
you	c
feel	c
completely	i
and	c
also	c
they	c
think	c
that	c
if	c
you	c
are	c
famous	c
you	c
are	c
special	c
as	c
well	c
.	c
"
"I believe , that if somebody wants the fame and the glory must be tottally sure about the results .","I	c
believe	c
,	c
that	c
if	c
somebody	c
wants	c
the	c
fame	c
and	c
the	c
glory	c
must	i
be	c
tottally	i
sure	i
about	c
the	c
results	c
.	c
"
"For example , the politicians the have choosed their careers , they must know that they are going to involved with everything that it has to do with publicity and their country and the most important is that they have to realize that they should be extremely careful of their movements or else they are going to have bad reputation , and they will be not trustworthy .","For	c
example	c
,	c
the	c
politicians	c
the	c
have	c
choosed	i
their	c
careers	c
,	c
they	c
must	c
know	c
that	c
they	c
are	c
going	c
to	c
involved	c
with	c
everything	c
that	c
it	c
has	c
to	c
do	c
with	c
publicity	c
and	c
their	c
country	c
and	c
the	c
most	c
important	c
is	i
that	c
they	c
have	c
to	c
realize	c
that	c
they	c
should	c
be	c
extremely	c
careful	c
of	i
their	c
movements	c
or	c
else	c
they	c
are	c
going	c
to	c
have	c
bad	i
reputation	c
,	c
and	c
they	c
will	c
be	i
not	i
trustworthy	i
.	c
"
"Another succesfull carreer such as , film stars must also be balanced .","Another	c
succesfull	i
carreer	i
such	c
as	c
,	c
film	c
stars	c
must	c
also	c
be	c
balanced	c
.	c
